subject_id,has_dti,has_rest,n_task_types,has_motor,has_wm,has_gambling,has_language,has_social,has_relational,has_emotion,has_movie,has_retbar,has_retccw,has_retcw,has_retcon,has_retexp
100206,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
100307,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
100408,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
100610,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
101006,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
101107,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
101309,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
101410,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
101915,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102008,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102109,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102311,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
102513,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102614,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102715,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
102816,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
103010,True,True,5,True,True,True,True,True,False,False,False,False,False,False,False,False
103111,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
103212,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
103414,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
103515,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
103818,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
104012,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
104416,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
104820,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
105014,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
105115,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
105216,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
105620,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
105923,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
106016,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
106319,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
106521,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
106824,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
107018,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
107220,False,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
107321,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
107422,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
107725,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
108020,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
108121,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
108222,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
108323,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
108525,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
108828,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
109123,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
109325,False,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
109830,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
110007,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
110411,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
110613,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
111009,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
111211,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
111312,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
111413,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
111514,True,True,13,True,True,True,True,True,True,True,True,True,True,True,True,True
111716,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
112112,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
112314,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
112516,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
112819,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
112920,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
113215,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
113316,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
113417,False,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
113619,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
113821,True,True,3,True,True,True,False,False,False,False,False,False,False,False,False,False
113922,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
114116,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
114217,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
114318,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
114419,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
114621,True,True,7,True,True,True,True,True,True,True,False,False,False,False,False,False
